time,vibX,vibY,vibZ
1679531051.688344,1.482361,-0.311401,-0.078979
1679531051.888095,1.482361,-0.358276,-0.422729
1679531052.108281,1.482361,-0.108276,-0.500854
1679531052.348228,1.482361,-0.030151,-0.813354
1679531052.6120677,1.732361,-0.577026,-0.657104
1679531052.840381,1.732361,-0.655151,-0.891479
1679531053.0841813,1.482361,-0.483276,-0.360229
1679531053.2848318,1.482361,-0.436401,-0.203979
1679531053.4722412,1.482361,-0.608276,-0.844604
1679531053.640308,1.982361,-0.623901,-0.391479
1679531053.820934,1.732361,-0.280151,-0.610229
1679531054.0080757,1.482361,-0.405151,-0.328979
1679531054.1640973,0.982361,-0.217651,-0.453979
1679531054.3638809,1.482361,-0.592651,-0.203979
1679531054.5648365,0.982361,-0.545776,-0.438354
1679531054.7691324,1.482361,-0.217651,-0.375854
1679531054.9720535,1.982361,-0.49884,-0.000854
1679531055.1651435,1.732361,-0.655151,-0.578979
1679531055.3411782,0.982361,-0.639526,-0.688354
1679531055.5363462,1.732361,-0.342651,-0.453979
1679531055.708063,1.732361,-0.561401,-0.453979
1679531055.9209373,1.482361,-0.530151,-0.188354
1679531056.1160052,1.732361,-0.608276,-0.500854
1679531056.2809608,1.482361,-0.639526,-0.500854
1679531056.467589,1.732361,-0.295776,-0.203979
1679531056.647874,1.232361,-0.373901,-0.438354
1679531056.8359191,1.482361,-0.295776,-0.657104
1679531057.024024,1.482361,-0.264526,-0.719604
1679531057.2209785,1.732361,-0.405151,-0.797729
1679531057.388119,1.482361,-0.748901,-0.438354
1679531057.5727134,1.232361,-0.623901,-0.297729
1679531057.74404,1.732361,-0.248901,-0.157104
1679531057.9159913,1.982361,-0.483276,-0.453979
1679531058.0799668,1.482361,-0.702026,-0.297729
1679531058.2559984,1.732361,-0.420776,-0.422729
1679531058.4240143,1.732361,-0.670776,-0.219604
1679531058.6130102,1.732361,-0.202026,-0.625854
1679531058.7999034,1.982361,-0.561401,-0.875854
1679531058.9647071,1.982361,-0.483276,-0.391479
1679531059.1648593,1.482361,-0.577026,-0.250854
1679531059.3532867,1.732361,-0.514526,-0.219604
1679531059.5440607,1.482361,-0.405151,-0.157104
1679531059.71216,1.232361,-0.155151,-0.453979
1679531059.8806014,1.732422,0.094849,-0.266479
1679531060.064062,0.982361,-0.373901,-0.532104
1679531060.2441378,1.232361,-0.108276,-0.141479
1679531060.4288888,1.482361,-0.420776,-0.391479
1679531060.6201153,1.732361,-0.452026,-0.203979
1679531060.8205724,1.232361,-0.311401,-0.485229
1679531061.0240555,1.732361,-0.248901,-0.297729
1679531061.2079473,1.732361,-0.436401,-0.328979
1679531061.3760898,1.232361,-0.655151,-0.485229
1679531061.5441732,1.482361,-0.342651,-0.532104
1679531061.7127218,1.482361,-0.43634,0.030396
1679531061.872174,1.232361,-0.202026,-0.547729
1679531062.0415928,1.232361,-0.389526,-0.188354
1679531062.2208104,1.482361,-0.280151,-0.391479
1679531062.39206,1.232361,-0.498901,-0.547729
1679531062.551942,1.482361,-0.639526,-0.610229
1679531062.7203426,1.482361,-0.264526,-0.453979
1679531062.8931634,1.482361,-0.139526,-0.563354
1679531063.0922897,1.232361,-0.530151,-0.391479
1679531063.2722926,1.482361,-0.436401,-0.219604
1679531063.448348,1.732361,-0.858276,-0.516479
1679531063.6322567,1.982361,-0.108276,-0.219604
1679531063.8279698,1.482361,-0.436401,-0.875854
1679531063.9960785,1.732361,-0.342651,-0.610229
1679531064.183987,1.982361,-0.389465,0.077271
1679531064.3798754,1.732361,-0.639526,-0.594604
1679531064.555864,1.482361,-0.233276,-0.797729
1679531064.7125568,1.482361,-0.327026,-0.328979
1679531064.88386,1.732361,-0.483276,-0.360229
1679531065.0720704,1.482361,-0.373901,-0.735229
1679531065.2801583,1.482361,-0.420776,-0.657104
1679531065.4438791,0.982361,-0.655151,-0.157104
1679531065.636089,1.982361,-0.764526,-0.547729
1679531065.8886817,1.232361,-0.452026,-0.625854
1679531066.0605905,1.482361,0.001099,-0.719604
1679531066.219873,-1.767639,-0.764526,-0.422729
1679531066.3839357,1.482361,-0.639526,-0.578979
1679531066.5598722,1.232361,-0.186401,-0.641479
1679531066.7286212,1.482361,-0.405151,-0.141479
1679531066.8879642,1.982361,-0.592651,-0.407104
1679531067.0560656,1.732361,-0.373901,-0.375854
1679531067.2560637,1.482361,-0.62384,-0.000854
1679531067.4284585,1.732361,-0.389526,-0.500854
1679531067.668259,1.732361,-0.389526,-0.219604
1679531067.855888,1.232361,-0.405151,-0.297729
1679531068.0360043,1.732361,-0.327026,-0.203979
1679531068.1959898,1.232361,-0.373901,-0.328979
1679531068.3798614,0.982361,-0.873901,-0.625854
1679531068.5799005,1.482361,-0.530151,-0.344604
1679531068.7519047,1.232361,-0.358276,-0.532104
1679531068.920246,1.732361,-0.498901,-0.266479
1679531069.108086,1.232361,-0.530151,-0.094604
1679531069.3132966,1.732361,-0.467651,-0.297729
1679531069.476788,1.732361,-0.342651,-0.313354
1679531069.6560602,1.732361,-0.420776,-0.219604
